id,name,author,date,entry_id,lang
1dHdSoybA9ab1AvzjnxUickGzujh5rpWG,Engels_1858-04-15_E0782_de.txt,Engels,1858-04-15,E0782,de
1nesLkS5cw49pohOzPz-0Y-7Y7LKrwR6E,Engels_1860-01-18_E0493_de.txt,Engels,1860-01-18,E0493,de
1JXkqGA1EyYB3pDeoeIJHzG64SqyVY7if,Engels_1860-01-30_E0724_de.txt,Engels,1860-01-30,E0724,de
1XL2XByEY_SyuNI3EagbbvD_0OOfTLe-f,Engels_1860-04-07_E0541_de.txt,Engels,1860-04-07,E0541,de
1BGcV-AgMW4KAhawQvNc80-o7kQmEVG92,Engels_1860-11-25_E0891_de.txt,Engels,1860-11-25,E0891,de
1DqEqzIFyeCe4QUSQz-vgQF4L1SD3vr8e,Engels_1867-10-22_E0691_de.txt,Engels,1867-10-22,E0691,de
1jw1ZMWyV100S6_04E1sHWRBJEOFlf5Hw,Engels_1876-01-22_E0767_de.txt,Engels,1876-01-22,E0767,de
17MjgEvIdrRqbhk0gOd5yFGQnuF9iLpdh,Engels_1882-05-03_E0547_de.txt,Engels,1882-05-03,E0547,de
18T11qLZHgDTqDeiUxvxW7fnBdVyUwH6V,Engels_1885-10-21_E0830_de.txt,Engels,1885-10-21,E0830,de
1edYH-4o2to405rDiqjnXLNSgdW1ef4RC,Engels_1889-08-23_E0562_de.txt,Engels,1889-08-23,E0562,de
1D2J49L1ZD3Ngqnx2FZ3PNH_CATnXd-1T,Engels_1893-04-04_E0814_de.txt,Engels,1893-04-04,E0814,de
1G3AnTj3_WSg1hJnCsAuIC15_mRvYVStE,Engels_1894-05-15_E0845_de.txt,Engels,1894-05-15,E0845,de
107Rvu22vW3V9b-0J7Xb5qVEI2zmM-BHs,Engels_1894-12-27_E0342_de.txt,Engels,1894-12-27,E0342,de
142hgMPWfjg7T0AlDK7EZuvIuou0RdHkS,MarxEngels_1844-11-22_ME076_de.txt,MarxEngels,1844-11-22,ME076,de
1QZcWi_k62f3eRDVCUcnhIo1sp8CFL7Qd,MarxEngels_1846-05-11_ME028_de.txt,MarxEngels,1846-05-11,ME028,de
1UINGLrWdtUyazuPDqeVjwVTBJ_a5_o7Z,MarxEngels_1846-06-15_ME086_de.txt,MarxEngels,1846-06-15,ME086,de
16wANi7nIzz1D2OK5tn8eS0RPdtK79i0T,MarxEngels_1846-07-17_ME004_de.txt,MarxEngels,1846-07-17,ME004,de
1_JIE3RepXrLdTeDDdtXUkzcfzuPNbnxq,MarxEngels_1846-08-15_ME066_de.txt,MarxEngels,1846-08-15,ME066,de
1XVu9TPDTdJ1EYX1c4Njyv4Aausz7BffV,MarxEngels_1847-12-22_ME035_de.txt,MarxEngels,1847-12-22,ME035,de
11MvYFhsa2AkKB64p0MHas8Qt0B1edhrD,MarxEngels_1848-01-04_ME034_de.txt,MarxEngels,1848-01-04,ME034,de
1FpZ-4akRIgkUbtV4RA7p2AWGXXVMYnsO,MarxEngels_1848-01-22_ME033_de.txt,MarxEngels,1848-01-22,ME033,de
